|name      |ra           |dec          |spect_type  |vmag |
|HIP 10064 |02 09 32.5209|+34 59 14.611|A5III       | 3.00|
|HIP 75097 |15 20 43.7492|+71 50 02.303|A3II-III    | 3.00|
|HIP 54539 |11 09 39.8594|+44 29 54.792|K1III       | 3.00|
|HIP 17358 |03 42 55.4821|+47 47 15.552|B5III SB    | 3.01|
|HIP 30122 |06 20 18.7872|-30 03 48.156|B2.5V       | 3.02|
|HIP 33977 |07 03 01.4736|-23 49 59.885|B3Ia        | 3.02|
|HIP 59316 |12 10 07.5259|-22 37 11.252|K2III       | 3.02|
|HIP 23416 |05 01 58.1340|+43 49 23.930|F0Ia        | 3.03|
|HIP 62322 |12 46 16.8696|-68 06 29.139|B2V         | 3.04|
|HIP 71075 |14 32 04.7578|+38 18 28.381|A7IIIvar    | 3.04|
|HIP 95947 |19 30 43.2853|+27 57 34.901|K3II+...    | 3.05|
|HIP 100345|20 21 00.6464|-14 46 53.044|A5:n        | 3.05|
|HIP 32246 |06 43 55.9298|+25 07 52.159|A3mA6-A9    | 3.06|
|HIP 50801 |10 22 19.8033|+41 29 57.961|M0III SB    | 3.06|
|HIP 94376 |19 12 33.1550|+67 39 40.741|G9III       | 3.07|
|HIP 89642 |18 17 37.7292|-36 45 40.612|M2III       | 3.10|
|HIP 52943 |10 49 37.4321|-16 11 38.875|K0/K1III    | 3.11|
|HIP 43813 |08 55 23.6848|+05 56 43.900|G8III-IV    | 3.11|
|HIP 56561 |11 35 46.9283|-63 01 11.370|B9II:       | 3.11|
|HIP 101772|20 37 33.9897|-47 17 29.985|K0III       | 3.11|
|HIP 83081 |16 58 37.2308|-55 59 24.198|K5III       | 3.12|
|HIP 84379 |17 15 01.9242|+24 50 22.515|A3IVv SB    | 3.12|
|HIP 27628 |05 50 57.5528|-35 46 09.452|K1.5III     | 3.12|
|HIP 44127 |08 59 12.8387|+48 02 32.458|A7IV        | 3.12|
|HIP 73334 |14 59 09.6990|-42 06 14.911|B2IV        | 3.13|
|HIP 45860 |09 21 03.4588|+34 23 33.093|M0IIIvar    | 3.14|
|HIP 46701 |09 31 13.3538|-57 02 03.810|K5III       | 3.16|
|HIP 84380 |17 15 02.8543|+36 48 32.959|K3IIvar     | 3.16|
|HIP 46853 |09 32 52.3253|+51 40 42.967|F6IV        | 3.17|
|HIP 83895 |17 08 47.2251|+65 42 52.692|B6III       | 3.17|
|HIP 31685 |06 37 45.6717|-43 11 45.326|B8III SB    | 3.17|
|HIP 92041 |18 45 39.3530|-26 59 26.806|B8.5III     | 3.17|
|HIP 23767 |05 06 30.8690|+41 14 04.707|B3V         | 3.18|
|HIP 71908 |14 42 30.6850|-64 58 28.450|F1Vp        | 3.18|
|HIP 83000 |16 57 40.2706|+09 22 30.203|K2IIIvar    | 3.19|
|HIP 22449 |04 49 50.1382|+06 57 40.491|F6V         | 3.19|
|HIP 87261 |17 49 51.4512|-37 02 36.136|K0/K1III    | 3.19|
|HIP 23685 |05 05 27.6521|-22 22 15.084|K4III       | 3.19|
|HIP 104732|21 12 56.1815|+30 13 37.493|G8II SB     | 3.21|
|HIP 116727|23 39 20.9820|+77 37 55.081|K1IV        | 3.21|
|HIP 75141 |15 21 22.3364|-40 38 50.854|B1.5IV      | 3.22|
|HIP 79882 |16 18 19.2408|-04 41 33.389|G8III       | 3.23|
|HIP 89962 |18 21 18.9206|-02 53 49.639|K0III-IV    | 3.23|
|HIP 106032|21 28 39.5750|+70 33 38.501|B2IIIv SB   | 3.23|
|HIP 99473 |20 11 18.2648|-00 49 17.312|B9.5III     | 3.24|
|HIP 32607 |06 48 11.5371|-61 56 31.128|A7IV        | 3.24|
|HIP 73714 |15 04 04.2619|-25 16 54.682|M3/M4III    | 3.25|
|HIP 36377 |07 29 13.8783|-43 18 06.809|K5III SB    | 3.25|
|HIP 93194 |18 58 56.6246|+32 41 22.391|B9III       | 3.25|
|HIP 68895 |14 06 22.2690|-26 40 55.268|K2III       | 3.25|
