|name      |ra           |dec          |spect_type  |vmag |
|HIP 16341 |03 30 37.0499|-05 04 30.588|B9Vs        | 4.74|
|HIP 69191 |14 09 54.9566|-53 26 19.413|G8III       | 4.74|
|HIP 39903 |08 09 00.8584|-61 18 06.141|F5V         | 4.74|
|HIP 42624 |08 41 13.1401|-47 19 01.709|A5II        | 4.74|
|HIP 88116 |17 59 47.5567|-23 48 57.641|B9V         | 4.74|
|HIP 6193  |01 19 27.9779|+27 15 50.713|A3V         | 4.74|
|HIP 77661 |15 51 15.9431|+20 58 40.352|K5III       | 4.74|
|HIP 116602|23 37 50.9353|-45 29 32.357|A2V         | 4.74|
|HIP 96052 |19 31 46.3210|+34 27 10.717|B3IV        | 4.74|
|HIP 93542 |19 03 06.8326|-42 05 41.980|A0Vn        | 4.74|
|HIP 12413 |02 39 47.9193|-42 53 29.880|A2V         | 4.74|
|HIP 103632|20 59 49.5503|+47 31 15.402|B1ne        | 4.74|
|HIP 44390 |09 02 32.7259|+67 37 46.469|M3III       | 4.74|
|HIP 108874|22 03 18.8296|-02 09 19.209|B7IVe       | 4.74|
|HIP 2505  |00 31 46.3179|+54 31 20.369|B8Vn        | 4.74|
|HIP 69713 |14 16 10.0695|+51 22 01.250|A9V         | 4.75|
|HIP 115088|23 18 37.4069|+68 06 41.105|K0III       | 4.75|
|HIP 67786 |13 53 12.5483|-31 55 39.310|B4IV        | 4.75|
|HIP 101612|20 35 34.7682|-60 34 52.673|F1III       | 4.75|
|HIP 57581 |11 48 14.4894|-66 48 53.535|K4III       | 4.75|
|HIP 35020 |07 14 38.1445|-48 16 18.942|B8/B9V      | 4.75|
|HIP 76880 |15 41 56.8187|-19 40 42.868|K5III       | 4.75|
|HIP 76945 |15 42 41.0371|-34 42 37.200|B5V         | 4.75|
|HIP 86486 |17 40 23.7323|-49 24 54.557|F3IV        | 4.76|
|HIP 114155|23 07 06.7392|+25 28 06.023|K0IIp       | 4.76|
|HIP 84969 |17 21 59.5348|-67 46 14.339|K1III       | 4.76|
|HIP 13244 |02 50 28.5368|-75 04 00.772|K3III       | 4.76|
|HIP 27750 |05 52 26.4428|+01 51 18.568|K2IIvar     | 4.76|
|HIP 70264 |14 22 37.1220|-58 27 32.970|G8/K1 + F/G | 4.76|
|HIP 63355 |12 58 55.4659|+17 24 33.698|M0III       | 4.76|
|HIP 38901 |07 57 40.1118|-30 20 04.513|A7III       | 4.76|
|HIP 94703 |19 16 13.0396|+21 23 25.594|B4IV        | 4.76|
|HIP 52370 |10 42 14.1440|-64 27 59.234|B3V         | 4.76|
|HIP 13288 |02 51 02.3459|-21 00 14.324|K0III       | 4.76|
|HIP 2472  |00 31 24.8561|-48 48 12.822|A0V         | 4.76|
|HIP 65639 |13 27 27.2381|-15 58 25.071|K1IIICN...  | 4.76|
|HIP 67665 |13 51 47.4895|+34 26 39.544|K5III       | 4.76|
|HIP 60485 |12 24 01.4823|+51 33 44.025|G7III       | 4.76|
|HIP 106801|21 37 55.2268|+62 04 55.008|B2Ib        | 4.76|
|HIP 47522 |09 41 17.0260|-23 35 29.477|B5V         | 4.76|
|HIP 55266 |11 19 07.9434|+38 11 08.600|A2V         | 4.76|
|HIP 29997 |06 18 50.7798|+69 19 12.123|A0Vn        | 4.76|
|HIP 14382 |03 05 32.4257|+56 42 19.973|K0II-III    | 4.77|
|HIP 86201 |17 36 57.0899|+68 45 25.882|F5V         | 4.77|
|HIP 62985 |12 54 21.1741|-09 32 20.207|M3IIIvar    | 4.77|
|HIP 90905 |18 32 34.5223|+57 02 44.219|F7Ib        | 4.77|
|HIP 56127 |11 30 18.8818|-03 00 12.452|K4III       | 4.77|
|HIP 112519|22 47 28.9474|+83 09 13.376|K3III       | 4.77|
|HIP 101027|20 28 51.6237|-17 48 49.206|F3V         | 4.77|
|HIP 100310|20 20 39.8067|-12 45 32.559|B9IV        | 4.77|
|HIP 98761 |20 03 33.4114|-37 56 25.768|K4III       | 4.77|
|HIP 26563 |05 38 53.0918|-07 12 45.750|A4V         | 4.77|
|HIP 3455  |00 44 11.4055|-10 36 33.385|K0IIIvar    | 4.77|
|HIP 88404 |18 03 04.9107|-08 10 48.928|F5V+...     | 4.77|
|HIP 100044|20 17 47.2044|+38 01 58.610|B2pe        | 4.77|
|HIP 45751 |09 19 46.3988|-11 58 29.576|G8III       | 4.77|
|HIP 32533 |06 47 19.8443|+08 02 14.218|K4III       | 4.77|
|HIP 26199 |05 35 02.6812|-06 00 07.303|B0.5V       | 4.78|
|HIP 50564 |10 19 44.3102|+19 28 17.169|F6IV        | 4.78|
|HIP 4147  |00 53 00.4905|-01 08 39.194|M0III       | 4.78|
|HIP 23231 |04 59 55.7131|-12 32 13.936|F0V         | 4.78|
|HIP 122   |00 01 35.8510|-77 03 55.060|K2III       | 4.78|
|HIP 17587 |03 46 02.3326|+63 20 42.244|A3V...      | 4.78|
|HIP 92024 |18 45 26.8562|-64 52 15.232|A7V         | 4.78|
|HIP 64852 |13 17 36.2869|+05 28 11.442|M2III       | 4.78|
|HIP 70104 |14 20 42.5510|-45 11 12.773|F0IV        | 4.78|
|HIP 85755 |17 31 24.9509|-23 57 45.289|A0V         | 4.78|
|HIP 21029 |04 30 33.5691|+16 11 38.672|A6IV        | 4.78|
|HIP 40274 |08 13 29.5224|-35 53 58.352|B2ne        | 4.78|
|HIP 39847 |08 08 27.5035|+51 30 24.033|A2V         | 4.78|
|HIP 87294 |17 50 11.1100|-40 05 25.542|A6Ib        | 4.78|
|HIP 60351 |12 22 30.3192|+25 50 46.254|F8:p...     | 4.78|
|HIP 110371|22 21 19.3276|+28 19 49.857|B9III       | 4.78|
|HIP 9977  |02 08 29.1458|+37 51 33.060|A5IV-V      | 4.78|
|HIP 47758 |09 44 12.1302|-27 46 10.426|A7V+...     | 4.78|
|HIP 70306 |14 23 05.9078|-27 45 13.442|K3III       | 4.78|
|HIP 110882|22 27 51.4770|+04 41 47.079|K0III       | 4.78|
|HIP 109400|22 09 48.3670|+72 20 28.318|G8III       | 4.79|
|HIP 41039 |08 22 31.6987|-48 29 25.431|B1V         | 4.79|
|HIP 87220 |17 49 10.4733|-31 42 11.464|B8Ib/II     | 4.79|
|HIP 88149 |18 00 15.7976|+04 22 07.128|B2Ve        | 4.79|
|HIP 9153  |01 57 55.7754|+23 35 45.946|F0V         | 4.79|
|HIP 80815 |16 30 12.4779|-25 06 54.574|B3V         | 4.79|
|HIP 1168  |00 14 36.1081|+20 12 24.110|M2III       | 4.79|
|HIP 99824 |20 15 15.8909|+25 35 31.089|B3V         | 4.79|
|HIP 22678 |04 52 37.9992|+36 42 11.507|K3III       | 4.79|
|HIP 109908|22 15 36.8848|-41 20 48.301|G8III+...   | 4.79|
|HIP 77655 |15 51 13.9374|+35 39 29.615|K0III-IV    | 4.79|
|HIP 45856 |09 20 56.8303|-62 24 16.679|G6III       | 4.79|
|HIP 64661 |13 15 14.9978|-67 53 40.428|B8V         | 4.79|
|HIP 15197 |03 15 50.0268|-08 49 11.426|A5m         | 4.80|
|HIP 45493 |09 16 11.2788|+54 01 18.163|A5V         | 4.80|
|HIP 45811 |09 20 29.0260|-09 33 20.266|F5V+...     | 4.80|
|HIP 99639 |20 13 18.0420|+46 48 56.413|A5IIIn      | 4.80|
|HIP 52502 |10 44 06.9371|-63 57 39.963|B5Vn        | 4.80|
|HIP 45038 |09 10 23.5262|+67 08 03.260|F7IV-V      | 4.80|
|HIP 84573 |17 17 19.5705|+33 06 00.411|B1.5Vp      | 4.80|
|HIP 112051|22 41 45.4097|+29 18 27.681|A1IV        | 4.80|
|HIP 61394 |12 34 51.1178|+22 37 45.083|A0IV        | 4.80|
|HIP 69879 |14 17 59.8161|+35 30 34.095|K1III       | 4.80|
|HIP 79881 |16 18 17.9209|-28 36 49.594|A0V:        | 4.80|
|HIP 73568 |15 02 06.5121|+25 00 29.723|K4III       | 4.80|
|HIP 20542 |04 24 05.6938|+17 26 39.162|A7V         | 4.80|
|HIP 103089|20 53 14.7453|+44 23 14.159|B5V         | 4.80|
|HIP 71995 |14 43 25.3719|+26 31 40.407|M3III       | 4.80|
|HIP 64022 |13 07 10.7079|+27 37 29.664|K5III       | 4.80|
|HIP 69112 |14 08 51.0090|+77 32 50.759|K3III       | 4.80|
|HIP 23364 |05 01 26.3449|-07 10 26.321|B3V         | 4.80|
|HIP 105382|21 20 45.5836|-40 48 34.231|A2p         | 4.80|
|HIP 110672|22 25 16.6125|+01 22 38.613|B1Ve        | 4.80|
|HIP 31832 |06 39 19.8270|+42 29 20.444|K3III       | 4.80|
|HIP 4151  |00 53 04.2793|+61 07 24.806|F8V         | 4.80|
|HIP 20354 |04 21 33.1487|+46 29 56.266|B4IV        | 4.80|
|HIP 3300  |00 42 03.8842|+50 30 45.149|B2.5V       | 4.80|
|HIP 55687 |11 24 36.6054|-10 51 33.778|K5III       | 4.81|
|HIP 70755 |14 28 12.2203|-02 13 40.620|G2III       | 4.81|
|HIP 39138 |08 00 19.9692|-63 34 03.010|B3V         | 4.81|
|HIP 28237 |05 57 59.6577|+25 57 14.097|B1Ib        | 4.81|
|HIP 24010 |05 09 41.9594|+15 35 50.178|F2IV        | 4.81|
|HIP 24659 |05 17 29.0234|-34 53 39.803|K0/K1III/IV | 4.81|
|HIP 90289 |18 25 21.0355|-20 32 29.793|A1/A2V      | 4.81|
|HIP 101867|20 38 31.2924|+21 12 04.247|A0V         | 4.81|
|HIP 47029 |09 35 03.8525|+39 37 17.195|K0III       | 4.81|
|HIP 24372 |05 13 45.4269|-67 11 07.259|K2III       | 4.81|
|HIP 102724|20 48 56.2934|+46 06 50.907|B3Ia        | 4.81|
|HIP 51459 |10 30 37.7643|+55 58 50.223|F8V         | 4.82|
|HIP 80179 |16 22 04.4400|+01 01 44.120|F0V         | 4.82|
|HIP 36773 |07 33 47.9679|-14 31 26.044|A4Ia        | 4.82|
|HIP 69226 |14 10 23.9485|+25 05 30.563|F9IVw       | 4.82|
|HIP 78554 |16 02 17.6891|+22 48 15.824|A3V         | 4.82|
|HIP 110386|22 21 31.0713|+12 12 18.621|B2IV-V      | 4.82|
|HIP 60710 |12 26 31.7882|-51 27 02.201|B3Vn        | 4.82|
|HIP 116901|23 41 45.7974|-17 48 59.520|G2Ib/II     | 4.82|
|HIP 82321 |16 49 14.1993|+45 59 00.412|A2p...      | 4.82|
|HIP 9095  |01 57 09.9929|-47 23 07.075|G8III       | 4.82|
|HIP 50799 |10 22 19.6060|-41 39 00.388|K1IIIvar    | 4.82|
|HIP 31827 |06 39 16.7164|-14 08 44.688|K2III       | 4.82|
|HIP 115022|23 17 44.6163|+49 00 55.020|M2III       | 4.82|
|HIP 111123|22 30 38.8150|-10 40 40.390|A0IVs       | 4.82|
|HIP 66458 |13 37 27.6969|+36 17 41.427|A7III       | 4.82|
|HIP 24340 |05 13 25.7316|+38 29 04.826|A4m         | 4.82|
|HIP 104019|21 04 24.3246|-19 51 17.752|A5V         | 4.82|
|HIP 83262 |17 01 03.6255|-04 13 20.835|K4III       | 4.82|
|HIP 92782 |18 54 23.7663|+71 17 49.522|K0III       | 4.82|
|HIP 90344 |18 25 58.9879|+65 33 48.767|K2III       | 4.82|
|HIP 33092 |06 53 32.9106|-20 13 27.349|B1Ib        | 4.82|
|HIP 12876 |02 45 32.5326|-67 37 00.206|A2IV/V      | 4.83|
|HIP 93026 |18 57 03.6341|-05 50 46.371|K1III       | 4.83|
|HIP 4292  |00 55 00.1930|+58 58 22.068|K2III       | 4.83|
|HIP 40945 |08 21 23.0343|-33 03 15.739|K2/K3III    | 4.83|
|HIP 42726 |08 42 25.4104|-53 06 50.546|B3IV        | 4.83|
|HIP 92088 |18 46 04.4681|+26 39 43.454|K3III       | 4.83|
|HIP 63724 |13 03 33.3479|-49 31 38.051|A0V         | 4.83|
|HIP 35210 |07 16 36.8369|-23 18 56.166|K4III       | 4.83|
|HIP 73695 |15 03 47.6818|+47 39 14.451|G2V + G2V   | 4.83|
|HIP 74449 |15 12 49.6047|-44 30 01.295|B3IV        | 4.83|
|HIP 6813  |01 27 39.0851|+45 24 25.030|F5IV        | 4.83|
|HIP 34495 |07 08 51.0764|-39 39 20.425|B3IV/V      | 4.83|
|HIP 93174 |18 58 43.4740|-37 06 25.519|F3IV/V      | 4.83|
|HIP 83574 |17 04 49.3511|-34 07 22.521|B2Iab       | 4.83|
|HIP 80704 |16 28 38.5249|+41 52 54.086|M6III:var   | 4.83|
|HIP 12390 |02 39 33.7317|-11 52 17.694|F5V         | 4.83|
|HIP 82020 |16 45 17.7897|+56 46 54.074|F2V         | 4.84|
|HIP 53807 |11 00 33.6395|+03 37 03.121|K1III       | 4.84|
|HIP 19740 |04 13 56.3909|+09 15 50.034|G5III       | 4.84|
|HIP 81008 |16 32 36.3983|+11 29 17.642|K4III       | 4.84|
|HIP 57328 |11 45 17.0048|+08 15 29.429|A4V         | 4.84|
|HIP 37297 |07 39 27.3540|-38 18 29.017|B3V         | 4.84|
|HIP 70027 |14 19 45.3208|+16 18 24.484|K3III       | 4.84|
|HIP 112374|22 45 37.8521|-53 30 00.587|K2IIICNIV   | 4.84|
|HIP 42134 |08 35 19.6482|-58 00 33.461|K0III       | 4.84|
|HIP 26777 |05 41 17.7154|+16 32 03.059|B3IV...     | 4.84|
|HIP 112203|22 43 29.9687|-41 24 50.826|K0III       | 4.84|
|HIP 10644 |02 17 02.4176|+34 13 29.387|G0V         | 4.84|
|HIP 81660 |16 40 55.1194|+64 35 20.708|K1p         | 4.84|
|HIP 98353 |19 58 57.1763|-26 11 44.979|G8II/III    | 4.84|
|HIP 114104|23 06 36.8098|+59 25 11.153|B0.5IV      | 4.84|
|HIP 7007  |01 30 10.9430|+06 08 38.159|K4III       | 4.84|
|HIP 15457 |03 19 21.5389|+03 22 11.894|G5Vvar      | 4.84|
|HIP 10340 |02 13 13.3408|+44 13 54.081|K4III       | 4.84|
|HIP 74837 |15 17 38.8878|-63 36 37.752|K2.5III     | 4.85|
|HIP 87846 |17 56 47.4256|-44 20 31.915|K2III       | 4.85|
|HIP 93148 |18 58 27.7552|-52 56 18.987|A0V         | 4.85|
|HIP 49712 |10 08 56.2537|-51 48 40.543|B3IV        | 4.85|
|HIP 64408 |13 12 03.4668|-37 48 11.290|G3V         | 4.85|
|HIP 36431 |07 29 51.4141|-23 01 27.477|A6Ib/II     | 4.85|
|HIP 14862 |03 11 56.2385|+74 23 37.928|A2Vnn       | 4.85|
|HIP 15416 |03 18 43.8239|+34 13 21.625|K2II        | 4.85|
|HIP 89918 |18 20 52.0621|+03 22 37.721|G8III       | 4.85|
|HIP 32438 |06 46 14.1527|+59 26 30.088|A3V         | 4.86|
|HIP 71832 |14 41 38.7565|+08 09 42.322|G8IIIvar    | 4.86|
|HIP 109068|22 05 40.6920|+05 03 29.824|K4III       | 4.86|
|HIP 64820 |13 17 13.0350|-66 47 00.321|K2Ib/II     | 4.86|
|HIP 101773|20 37 35.2397|-61 31 47.079|Fm delta Del| 4.86|
|HIP 94643 |19 15 32.3972|-25 15 23.784|K0/K1III+.. | 4.86|
|HIP 81122 |16 34 05.0203|-44 02 43.111|B0Ia        | 4.86|
|HIP 81497 |16 38 44.8880|+48 55 41.799|M2.5III     | 4.86|
|HIP 2210  |00 27 55.7127|-33 00 25.361|M2/M3III    | 4.86|
|HIP 80181 |16 22 05.8901|+30 53 30.243|K0III       | 4.86|
|HIP 91918 |18 44 19.3595|-35 38 30.916|B2V         | 4.86|
|HIP 51808 |10 35 05.5884|+75 42 46.743|K0III       | 4.86|
|HIP 42483 |08 39 42.4907|-29 33 39.103|G5III       | 4.86|
|HIP 85829 |17 32 15.8790|+55 10 22.104|Am          | 4.86|
|HIP 92761 |18 54 10.1753|-22 44 41.353|K1II        | 4.86|
|HIP 15382 |03 18 22.0956|-22 30 40.139|K0III       | 4.86|
|HIP 70327 |14 23 22.7401|+08 26 47.905|A0V         | 4.86|
|HIP 86736 |17 43 25.8550|-21 40 59.108|F6/F7V      | 4.86|
|HIP 19777 |04 14 23.6932|-10 15 21.200|K3III       | 4.87|
|HIP 12093 |02 35 52.4890|+05 35 35.886|G8III       | 4.87|
|HIP 15110 |03 14 54.1148|+21 02 40.663|A1V         | 4.87|
|HIP 43825 |08 55 31.5156|-27 40 53.853|A3IV        | 4.87|
|HIP 34899 |07 13 13.3711|-45 10 57.089|Ap          | 4.87|
|HIP 6411  |01 22 20.3930|+45 31 43.524|K0III-IV    | 4.87|
|HIP 48559 |09 54 12.4385|-25 55 56.935|K2III       | 4.87|
|HIP 52736 |10 46 51.2442|-64 23 00.589|B3IV        | 4.87|
|HIP 97290 |19 46 21.8192|-19 45 39.221|K0III       | 4.87|
|HIP 42662 |08 41 43.3340|-15 56 35.335|K0IIICN...  | 4.87|
|HIP 51979 |10 37 13.7988|-27 24 45.672|M1III       | 4.87|
|HIP 106551|21 34 46.4774|+38 32 01.777|K1III       | 4.87|
|HIP 58484 |11 59 37.6913|-78 13 18.546|B9Vn        | 4.88|
|HIP 25539 |05 27 38.0840|+21 56 13.136|B2.5IV      | 4.88|
|HIP 82860 |16 56 01.3595|+65 08 04.819|F6Vvar      | 4.88|
|HIP 91845 |18 43 31.2402|-08 16 30.875|G8II        | 4.88|
|HIP 87936 |17 57 47.8065|-41 42 58.530|M0III       | 4.88|
|HIP 27468 |05 49 00.9595|+24 34 03.197|G8IIIvar    | 4.88|
|HIP 61960 |12 41 53.0076|+10 14 09.035|A0V         | 4.88|
|HIP 35412 |07 18 40.3808|-24 33 31.347|O7f         | 4.88|
|HIP 96341 |19 35 12.9938|-48 05 56.798|G9III       | 4.88|
|HIP 63462 |13 00 16.4855|+30 47 06.132|K1IIIp      | 4.88|
|HIP 11345 |02 25 57.0123|-12 17 25.627|A0V         | 4.88|
|HIP 27810 |05 53 06.8844|-33 48 05.182|B5V         | 4.88|
|HIP 118243|23 59 00.5297|+55 45 17.786|B1V...      | 4.88|
|HIP 118209|23 58 40.4106|-03 33 20.907|G9III       | 4.88|
|HIP 94820 |19 17 38.0856|-18 57 10.376|K0III       | 4.88|
|HIP 117301|23 47 03.3867|+58 39 06.666|K1III       | 4.88|
|HIP 910   |00 11 15.9082|-15 28 02.362|F5V         | 4.89|
|HIP 27511 |05 49 32.9435|+12 39 04.917|B9IV        | 4.89|
|HIP 51523 |10 31 22.2348|-53 42 57.574|F6V         | 4.89|
|HIP 57443 |11 46 32.2470|-40 30 04.804|G3/G5V      | 4.89|
|HIP 57851 |11 51 51.2729|-65 12 21.220|B4V         | 4.89|
|HIP 97118 |19 44 16.5516|+37 21 15.371|G8III       | 4.89|
|HIP 83613 |17 05 22.6602|+12 44 27.077|A4IV        | 4.89|
|HIP 25302 |05 24 44.8265|+01 50 47.206|B1V:pe      | 4.89|
|HIP 37908 |07 46 07.4937|+18 30 36.608|K5III       | 4.89|
|HIP 62886 |12 53 17.7708|+21 14 42.074|G8III       | 4.89|
|HIP 37265 |07 39 09.9564|+34 35 04.678|F3III       | 4.89|
|HIP 115990|23 30 01.9195|+58 32 56.075|B3IV        | 4.89|
|HIP 102831|20 49 58.0795|-33 46 46.824|G8III       | 4.89|
|HIP 69896 |14 18 13.9705|-81 00 27.365|A2m...      | 4.89|
|HIP 52009 |10 37 33.2475|-13 23 04.023|C           | 4.89|
|HIP 85819 |17 32 10.4180|+55 11 02.799|Am...       | 4.89|
|HIP 22453 |04 49 54.6665|+37 29 17.453|K4II        | 4.89|
|HIP 111841|22 39 15.6789|+39 03 01.019|O9V         | 4.89|
|HIP 97679 |19 51 04.0936|+22 36 36.312|B2.5V       | 4.90|
|HIP 102790|20 49 28.9292|-46 13 36.813|K5III       | 4.90|
|HIP 64583 |13 14 15.4281|-59 06 10.294|F7IV        | 4.90|
|HIP 78821 |16 05 26.5752|-19 48 06.631|B2V         | 4.90|
|HIP 78655 |16 03 24.2026|-38 36 08.896|B6III/IV    | 4.90|
|HIP 3801  |00 48 49.9933|+50 58 05.490|B9III       | 4.90|
|HIP 33485 |06 57 37.1250|+45 05 38.767|A2Vn        | 4.90|
|HIP 62683 |12 50 41.1870|-33 59 57.364|B9V         | 4.90|
|HIP 26885 |05 42 28.6644|+01 28 28.794|K1III       | 4.90|
|HIP 80686 |16 28 27.8012|-70 05 04.812|F9V         | 4.90|
|HIP 6670  |01 25 37.2093|-14 35 55.516|K2III       | 4.90|
|HIP 73473 |15 00 58.3877|-08 31 08.166|B9.5V       | 4.91|
|HIP 101692|20 36 43.6270|-02 32 59.705|K5II        | 4.91|
|HIP 52085 |10 38 35.0131|-16 52 35.893|G8III       | 4.91|
|HIP 30093 |06 19 59.6044|-02 56 40.165|M1III       | 4.91|
|HIP 113186|22 55 13.6243|+08 48 57.943|A1V         | 4.91|
|HIP 111310|22 33 00.0126|-61 58 55.463|M4III       | 4.91|
|HIP 101101|20 29 38.9587|-02 53 07.715|K2III       | 4.91|
|HIP 21139 |04 31 52.6695|-00 02 38.368|K3II-III    | 4.91|
|HIP 61966 |12 41 56.5968|-59 41 08.919|B6IV        | 4.91|
|HIP 66257 |13 34 47.7463|+37 10 56.779|F2IV SB     | 4.91|
|HIP 23835 |05 07 26.6761|+18 38 42.026|G4V         | 4.91|
|HIP 12623 |02 42 14.9288|+40 11 39.793|F9V         | 4.91|
|HIP 83608 |17 05 20.1823|+54 28 11.507|F5          | 4.91|
|HIP 34752 |07 11 39.2924|+39 19 13.957|K4II-III    | 4.91|
|HIP 34622 |07 10 13.6819|-04 14 15.488|K0III       | 4.91|
|HIP 23362 |05 01 25.5579|-20 03 06.771|B9V         | 4.91|
|HIP 74604 |15 14 37.3259|-31 31 08.852|F3III       | 4.91|
|HIP 98055 |19 55 37.8223|+52 26 20.484|A4Vn        | 4.91|
|HIP 81724 |16 41 34.3963|-17 44 31.793|G8II/III    | 4.91|
|HIP 36547 |07 31 04.4802|+82 24 41.647|M4IIIa      | 4.92|
|HIP 28816 |06 04 59.1326|-16 29 03.938|Ap shell    | 4.92|
|HIP 30520 |06 24 53.9020|+49 17 16.437|K5Iabvar    | 4.92|
|HIP 89861 |18 20 17.9036|+21 57 41.187|M1III       | 4.92|
|HIP 67480 |13 49 42.8199|+21 15 50.631|K4III       | 4.92|
|HIP 75379 |15 24 11.9301|-10 19 18.821|F5IV        | 4.92|
|HIP 66200 |13 34 07.9053|+03 39 32.490|A1p SrCrEu  | 4.92|
|HIP 90830 |18 31 45.4361|-45 54 53.077|B6IV        | 4.92|
|HIP 88726 |18 06 49.8845|-43 25 29.862|A5V         | 4.92|
|HIP 72104 |14 44 59.1951|-35 11 30.554|A0V         | 4.92|
|HIP 60697 |12 26 24.0737|+27 16 05.746|F0p         | 4.92|
|HIP 34059 |07 03 53.6560|-49 35 03.327|A4IV        | 4.92|
|HIP 102388|20 44 52.5232|+25 16 15.774|K2III       | 4.92|
|HIP 45439 |09 15 36.7617|-38 34 11.704|K1III       | 4.92|
|HIP 28574 |06 01 50.4258|-10 35 52.581|B5III       | 4.92|
|HIP 54204 |11 05 20.0326|-27 17 36.944|F3IV/V      | 4.92|
|HIP 9061  |01 56 40.1587|-22 31 36.162|K3III       | 4.92|
|HIP 92689 |18 53 13.5413|+50 42 29.840|G8III       | 4.92|
|HIP 39079 |07 59 44.1847|-03 40 46.482|K2III       | 4.93|
|HIP 99120 |20 07 23.1686|-52 52 50.915|M1II        | 4.93|
|HIP 114939|23 16 50.9505|-07 43 35.278|M3III       | 4.93|
|HIP 96483 |19 36 53.4486|-07 01 38.894|B0.5III     | 4.93|
|HIP 56986 |11 40 53.6527|-62 05 24.374|G3Ib        | 4.93|
|HIP 19990 |04 17 15.6862|+20 34 43.465|A3m         | 4.93|
|HIP 36942 |07 35 39.7002|-52 32 01.709|K3III       | 4.93|
|HIP 47592 |09 42 14.6715|-23 54 58.351|G0V         | 4.93|
|HIP 43937 |08 56 58.4271|-59 13 45.692|B2IV-V      | 4.93|
|HIP 102571|20 47 10.7244|+34 22 26.772|K3IIIvar    | 4.93|
|HIP 69269 |14 10 50.4835|-16 18 07.213|M1III       | 4.93|
|HIP 62763 |12 51 41.9278|+27 32 26.642|G0III       | 4.93|
|HIP 20252 |04 20 24.6560|+34 34 00.272|G8III       | 4.93|
|HIP 59847 |12 16 20.5552|+23 56 43.524|K0III       | 4.93|
|HIP 19515 |04 10 50.4330|-41 59 37.468|A9V         | 4.93|
|HIP 73996 |15 07 17.9471|+24 52 10.535|F5V         | 4.93|
|HIP 117073|23 43 59.4380|+29 21 41.590|K0III       | 4.93|
|HIP 99770 |20 14 31.9825|+36 48 22.087|A2V         | 4.93|
|HIP 99303 |20 09 25.6167|+36 50 22.524|B2.5V       | 4.93|
|HIP 72631 |14 51 01.0201|-02 17 55.860|G8...       | 4.93|
|HIP 23179 |04 59 15.3754|+37 53 25.737|A1V         | 4.93|
|HIP 56280 |11 32 16.4175|-29 15 40.945|F8V         | 4.93|
|HIP 79375 |16 12 00.0016|-10 03 51.067|A3IV        | 4.93|
|HIP 63503 |13 00 43.5858|+56 21 58.793|F2V         | 4.93|
|HIP 37609 |07 43 00.4577|+58 42 37.753|A3IVn       | 4.93|
|HIP 35727 |07 22 13.5300|-19 00 59.704|B5II/III    | 4.94|
|HIP 48615 |09 54 52.2371|-19 00 33.371|K5III       | 4.94|
|HIP 43347 |08 49 47.6483|-45 18 28.475|A2III       | 4.94|
|HIP 33357 |06 56 15.9891|-48 43 16.192|M1III       | 4.94|
|HIP 80650 |16 27 59.0532|+68 46 04.998|A0III       | 4.94|
|HIP 99742 |20 14 16.5856|+15 11 50.884|A2V         | 4.94|
|HIP 93279 |19 00 00.8214|+32 08 43.766|K3III       | 4.94|
|HIP 39424 |08 03 31.0992|+27 47 39.905|K2III       | 4.94|
|HIP 109422|22 10 08.4835|-32 32 54.386|F6V         | 4.94|
|HIP 13905 |02 59 03.7098|+35 10 59.211|K2III       | 4.94|
|HIP 64540 |13 13 42.9815|+40 09 10.252|K0III       | 4.94|
|HIP 101138|20 30 03.5318|+48 57 05.581|B2.5IV      | 4.94|
|HIP 10280 |02 12 22.3239|+30 18 11.574|F5V comp SB | 4.94|
|HIP 51495 |10 31 02.0746|-73 13 17.432|K4/K5III    | 4.94|
|HIP 64166 |13 09 03.2830|-23 07 04.702|K0III       | 4.94|
|HIP 50933 |10 24 07.8588|+65 33 59.305|A0sp...     | 4.94|
|HIP 61384 |12 34 44.0653|+70 01 18.383|K2III       | 4.95|
|HIP 18505 |03 57 25.4355|+63 04 20.098|B9.5V       | 4.95|
|HIP 98608 |20 01 44.7223|-59 22 32.981|M6III       | 4.95|
|HIP 115738|23 26 55.9053|+01 15 21.015|A0p         | 4.95|
|HIP 29434 |06 12 03.2761|+16 07 49.609|B5Vn        | 4.95|
|HIP 112917|22 52 01.9473|+43 18 44.514|M0III       | 4.95|
|HIP 79509 |16 13 28.7343|-54 37 49.486|G4III       | 4.95|
|HIP 3414  |00 43 28.0907|+47 01 28.692|A5V         | 4.95|
|HIP 98068 |19 55 51.7612|+38 29 12.134|B5IV        | 4.95|
|HIP 55945 |11 27 56.2299|+02 51 22.647|G8II-III    | 4.95|
|HIP 26736 |05 40 50.7158|-01 07 43.628|B2IV-V      | 4.95|
|HIP 79822 |16 17 30.5010|+75 45 16.934|F5V         | 4.95|
|HIP 6242  |01 20 04.9177|+58 13 53.818|F0Ia        | 4.95|
|HIP 117245|23 46 23.5369|+03 29 12.738|C5II        | 4.95|
|HIP 78207 |15 58 11.3763|-14 16 45.544|B8Ia/Iab    | 4.95|
|HIP 115590|23 24 50.2470|+62 16 58.220|M1III       | 4.96|
|HIP 67494 |13 49 52.3445|-18 08 02.674|K0III       | 4.96|
|HIP 24822 |05 19 16.5898|+22 05 48.088|G8III       | 4.96|
